apparent,明らかな、外見上
our times,現代
plenty,たくさん
bible,聖書
ordinary,平凡な
frighten,を怖がらせる
convince,を納得させる
take in,見物する
so~that...,あまりに~で...、~を過ぎて...、とても~なので...
so that ~,その結果~となる、~できるよう
ruin,破壊させる、廃墟
proceed,続ける、取り掛かる
stimulate,活気づける、刺激する
vague,あいまいな
precise,正確な、厳密な
complicate,を複雑にする
furthermore,さらには
accurate,正確な
vary,変わる、異なる、変化を与える
come across,に出会う
depend upon,次第である
exploit,利用する、開発する
efficient,効率的な、有能な
prevail,優勢だ、勝つ
even if ~,たとえ~しても
even though,だけれども
conscious,気づいて、意識的な
immediate,即座の、直接の
want out of,から得たいと思う
subtle,微妙な
affair,事態、情勢、事件
trivial,つまならい、平凡な
slight,ささいな
embarrass,まごつかせる
circumstance,事情、環境
capital,首都、主要な、資本の
get into,陥る
incidental,付随的な、偶発的な
diverse,様々な、異なった
migrate,移住する
speak of,語る
such as,例えば～なの
adequate,十分な、適切な
acquire,取得する、手に入れる
depth,奥行、深さ
contemporary,現代の、同時代の
peculiar,奇妙な
avenue,街路
dispute,議論する、反対する
sophisticated,精巧な、洗礼された
take on,引き受ける
astonish を驚かす
undertake,引き受ける
pretend,ふりをする
deceive,をだます
institute,研究所、機関、講習会、原理、を設立
retain,保つ
wear,着ている(状態)、すり減らす、疲れさせる
interfere,妨げとなる、干渉する
wound,傷、傷つける
devote,捧げる、充てる
strive,努力する、戦う
relieve,取り除く、和らげる
impose on,課す
pity,哀れみ、残念
once,かつて、一度、一回
braces,補助器具
struggle up~,努力して~上がる
stairs,階段
gaze,見つめる
stare,見つめる
glance,ちらっと見る
blankly,ぼんやりと
perspective,総合的な見方、観点
afford,余裕がある、どうにかできる
nob,うなずく
toddle,よちよち歩く
shed,(血、涙)を流す
meet one's meet,欲求を満たす
for a time,さしあたり
reveal,明らかにする、示す
conceal,隠す
pale,青白い、青ざめた
realm,領域、分野
province,領土、田舎
starvation,飢え、餓死
grain,穀物、わずかな量
vessel,容器、船
reap,刈り入れる
sum up,要約する
barter,交易する、物々交換
contrary,反対の、反対
correspond,合致する、文通する
exaggeration,誇張
make contact with,と付き合う
sincere,誠実な
have nothing to do with,何の関係もない
politeness,丁重さ
prestige,名声、威信
grant,(資格)を与える、認める
rigid,堅い、厳格な
severe,シビア
trying,つらい、苦しい
commerce,商業
congress,会議、国会
rural,田舎の
concentrate,集中させる、濃縮する
poultry,鶏肉
estimate,見積もり、評価する
absorb,吸収する、夢中にさせる
abandon,捨てる、見捨てる、やめる
desert,やめる
imitate,マネする
roar,どなる
weep,しくしく泣く
settle,入植する、解決する
interact,相互に影響する
stereotype,固定観念
there is room for,の余裕がある
motive,動機、理由
investigate,調査する
equip,を備え付ける
acknowledge,認める、認知する
persist,いつまでも続く、持続する
frustrate,いらいらさせる、不満を持たせる、邪魔をする、フラストレーション
be patient with,に対して寛容である
divoce,離婚する
debt,借金(デッド)
owe,借金している、義務を負っている
owing to,のために、のおかげで
prejudiece,先入観、偏見
consequence,結果、影響
accommodate,適応させる、収容できる、宿泊させる
privilege,特権
deprive,剥奪する
urge,主張する、しきりに勧める
advertise,広告する
compromise,妥協する
prolong,延長する
prospect,見込み
proceed,前進する
breadth,広さ
worship,崇拝、礼拝
say that,という事が分かる
be responsible for,招く
reflect,示す
fraud,詐欺
lung,肺
limb,腕、手足
witness,証言する、証人
clue,手がかり、糸口
desert,を見捨てる、砂漠
temporary,一時的な
eventually,結局は
strip,奪う、取り除く
beneath,の下に
stretch from A to B,AからBまで広がっている
ample,十分な、広大な
intend,するつもりだ
intention,意図
disturb,乱す、邪魔する
hatch from,(卵から)かえる
devise,デバイス、考案する、工夫する
utter,発する、述べる、まったくの
put A on B,AをBに送る
beware,気を付ける
diminish,減少する
cluster,群がる
accumulate,蓄積する
pile,積み重ね
extinct,絶滅した
oocasion,時、場合、行事
oocasional,ときおり
virtue,美徳、長所
rational,理性的な、合理的な
humor,ユーモア
entire,まったくの、全体の
humble,謙虚な
inferior,劣る
inhabit,住む
priest,司祭、聖職者
content,満足した
signify,意味する
identify,同一化
purify,浄化する
annoy,いらいらさせる
poverty,貧困
polite,礼儀正しい
obtain,入手する、獲得する
confine,制限する、閉じ込める
consist of,成る
consist in,存在する
consist with,両立する
comfort,慰め
exhaust,疲れ果てさせる、使い果たす
strain,酷使する、緊張
gradually,徐々に、次第に
vanish,消える、いなくなる
revive,復活する
bury,埋める
shrink,縮む
confront,(危険に)直面する
fate,運命
quarrel,口論する
yield,産出する、降伏する
inevitable,避けられない、必然の
undergo,検査を受ける、試験を経験する
emerge,現れる、明らかになる
trait,特色
acquaintance,知り合い
complaon,不平を言う
appreciate,感謝する、真価を認める
luxury,ぜいたく
passive,受動的な、受け身の
distinct,明瞭な、異なった
depress,落胆させる
engage,従事させる、従事する
proper,適切な、正しい、特有の、固有の
cultivate,耕す
govern,決定する、管理する、支配する
merchant,商人
instinct,本能、天性
preach,説教する
breach,規律違反、破る
care for,管理する
buerden,重荷、負荷
exceed,超える、勝る
profound,深遠な、心の底から
accord,一致する
initiative,主導権
bore,退屈させる
firm,会社、堅い、断固とした
be content to do,することに満足する
trifles,ささいなこと
preserve,保存する、維持する
frontier,国境
grasp,つかむ、把握する
comprehend,理解する
comprehensive,包括的な、広範囲にわたる
discipline,訓練する、しつける
purchase,買う、購入
collapse,崩壊する、失敗する
conduct,行為、管理、導く
prosperity,繁栄
sole,唯一の、単独の
dismiss,解雇する
overwhelm,圧倒する
suspicion,疑惑
associate,連想する、交際する
resort to,訴える
scheme,計画、悪巧み
endure,耐える、我慢する
derive,由来する、(ディライブ)
stem,由来する
be apt to do,しがちである
tense,緊張した
convention,協定、習慣
continent,大陸
launch,開始する、打ち上げる
obey,従う、守る
detect,発見する、探知する
revise,改訂する、変更する
myth,神話、作り話
exhibit,示す、展示する(いぐぜぃびっと)
be annoyed,困る(いのいど)