among,中、間
ahead,先に
look ahead to,先を見据えて
take place,行われる、起こる
so far,これまでのところ
underway,進行中
await,待つ
consecutive,連続
across,横切って
statement,表現、声明
reputation,評判
following,次の
elimination,削除
rest,休み、休息
appearance,容姿、外観、出席・出演
presence,出席、面前
Barring,…を除いて、…がなければ
due,予定されている
due to,のため
oppose,反対する
opposed to,とは対照的に
resistance,抵抗
beaten,殴られた
crumble,砕く、くずれて
in the face of,…に直面して、…を物ともせずに、…にもかかわらず
relentless,容赦ない、執拗な
confidence,自身、信頼、革新
exude,しみ出る、にじみ出る
lack,欠如、足らない
appointed,任命
disappointed,残念だった
plenty,多くの、十分に
rotating,回転
literally,文字通り
otherwise,それ以外は
flawless,完璧
decent,ちゃんとした
away,あちらへ
utterly,まったく
spent,消耗する
barely,やっと、かろうじて
perspective,見通し、視界
particularly,特に
out of,～から、外に
be tired of,嫌気が差します
in order to,そうするには
reserve,予約する
notice,知らせ
deserve,値する
genuinely,本当に
definitely,絶対に
temporary,一時的な
farewell,別れ
demanding,多くを要求する、過酷な、きつい
accelerate,加速する
verbally,口頭で
purposely,わざと、故意に
mention,言及、記載
prediction,予測
concern,懸念
instead of,それ以外の、代わりに
be packed with,いっぱいである
be about to,しようとしています
atop,頂上
spared,惜しまない
struggle,もがく、あがく、、闘争
sorely,ひどく、きわめて
surely,もちろん
criticise,批判する
dispel,払いのける
significantly,大幅
predicted,予測
dub,吹き替える、つつく、たたく
apart,離れて、別れて
attempt,試みる
preserve,保存する、保つ
provide,提供する
prove,証明する
prevent,防ぐ
improve,向上する
worsen,悪化する
massive,大規模
deter,抑止する、やめさせる
replace,交換する
involve,関与、巻き込む
across,横切って
no longer,これ以上
infect,感染する
departure,出発
arrival,到着
recruitment,募集
evolve,進化する
capable,有能(能力がある)
competent,有能(力量がある)
supposed,想像された、仮定の、うわさの
aware,わかっている、気が付いて
previously,以前
candidate,候補者
calm,落ち着いて、穏やか、静か
claim,請求、要求、クレーム
climb,登る
quite,とても
quiet,静かな
whether,どうにか、かどうか